source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[sex]	characteristics[individual]	characteristics[strain/breed]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[age]	characteristics[mass]	characteristics[condition]	characteristics[sample type]	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[ms2 analyzer type]	comment[ms2 analyzer type]	comment[database]	comment[search engine]	comment[quant file]	comment[sample run]	factor value[condition]
IP_D620N.s3	Mus musculus	brain	not applicable	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	not available	IP_D620N	Organelle-IP	run 1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_HomHet_S3.raw	20210407_YL_DIA_MouseBrain_Input_HomHet_S3.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_HomHet_S3.raw	IP_D620N
IP_D620N.s7	Mus musculus	brain	not applicable	not available	not available	2	not available	not available	not available	not available	not available	not available	not available	not available	IP_D620N	Organelle-IP	run 2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_HomHet_S7.raw	20210407_YL_DIA_MouseBrain_Input_HomHet_S7.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_HomHet_S7.raw	IP_D620N
IP_D620N.s11	Mus musculus	brain	not applicable	not available	not available	3	not available	not available	not available	not available	not available	not available	not available	not available	IP_D620N	Organelle-IP	run 3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_HomHet_S11.raw	20210407_YL_DIA_MouseBrain_Input_HomHet_S11.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_HomHet_S11.raw	IP_D620N
IP_D620N.s15	Mus musculus	brain	not applicable	not available	not available	4	not available	not available	not available	not available	not available	not available	not available	not available	IP_D620N	Organelle-IP	run 4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_HomHet_S15.raw	20210407_YL_DIA_MouseBrain_Input_HomHet_S15.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_HomHet_S15.raw	IP_D620N
IP_D620N.s16	Mus musculus	brain	not applicable	not available	not available	5	not available	not available	not available	not available	not available	not available	not available	not available	IP_D620N	Organelle-IP	run 5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_HomHet_S16.raw	20210407_YL_DIA_MouseBrain_Input_HomHet_S16.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_HomHet_S16.raw	IP_D620N
IP_WT.s2	Mus musculus	brain	not applicable	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	not available	IP_WT	Organelle-IP	run 6	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTHet_S2.raw	20210407_YL_DIA_MouseBrain_Input_WTHet_S2.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTHet_S2.raw	IP_WT
IP_WT.s4	Mus musculus	brain	not applicable	not available	not available	2	not available	not available	not available	not available	not available	not available	not available	not available	IP_WT	Organelle-IP	run 7	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTHet_S4.raw	20210407_YL_DIA_MouseBrain_Input_WTHet_S4.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTHet_S4.raw	IP_WT
IP_WT.s6	Mus musculus	brain	not applicable	not available	not available	3	not available	not available	not available	not available	not available	not available	not available	not available	IP_WT	Organelle-IP	run 8	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTHet_S6.raw	20210407_YL_DIA_MouseBrain_Input_WTHet_S6.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTHet_S6.raw	IP_WT
IP_WT.s10	Mus musculus	brain	not applicable	not available	not available	4	not available	not available	not available	not available	not available	not available	not available	not available	IP_WT	Organelle-IP	run 9	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTHet_S10.raw	20210407_YL_DIA_MouseBrain_Input_WTHet_S10.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTHet_S10.raw	IP_WT
IP_WT.s14	Mus musculus	brain	not applicable	not available	not available	5	not available	not available	not available	not available	not available	not available	not available	not available	IP_WT	Organelle-IP	run 10	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.994915;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.021464;AC=UNIMOD:4	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	20 ppm	gs://asap-raw-team-alessi-mouse-ms-p-brain-vps35-d620n-wt/raw/480/20210407_YL_DIA_MouseBrain_Input_WTHet_S14.raw	20210407_YL_DIA_MouseBrain_Input_WTHet_S14.raw	Data-Independent Acquisition	AC=PRIDE:0000609;NT=Tris(2-carboxyethyl)phosphine (TCEP)	AC=PRIDE:0000599;NT=Iodoacetamide (IAA)	375-1500 m/z	AC=MS:1000081;NT=quadrupole	AC=MS:1000484;NT=orbitrap	20211117_Mouse.fasta	DIANN-1.8.1	not available	20210407_YL_DIA_MouseBrain_Input_WTHet_S14.raw	IP_WT
